game_title,platform,critic_name,review_text,critic_score,global_metascore
locoroco 2,playstation-4,4Players.de,Quotation forthcoming.,92,79
locoroco 2,playstation-4,Multiplayer.it,LocoRoco 2 is the perfect opportunity to recover the small masterpiece created by Japan Studio.,85,79
locoroco 2,playstation-4,Areajugones,LocoRoco 2 Remastered has adapted perfectly the controls to PlayStation 4 and is way better than the original one. New levels and secrets that make this game a must-have for those who like original games of this genre.,85,79
locoroco 2,playstation-4,PlayStation LifeStyle,"The core of this classic has not been touched, and this remains the same LocoRoco 2 many gamers have fond memories of. Pick this up if you’re a fan of the series, or especially if you never tried the original release and want the best version available.",80,79
locoroco 2,playstation-4,Push Square,"Aside from some more inventive level design and a couple of new bells and whistles to keep you occupied, LocoRoco 2 Remastered is more of the same, which in our book is no bad thing. There’s little here that will surprise you, but it does just as good a job as the first game in providing a simple, grin-inducing few hours. We’ve rather enjoyed revisiting both titles this year, and we think fans old and new will still get a lot of fun out of them. Games as jovial as this one don’t come around very often these days, so if you’re after something light, you’ll have a ball.",80,79
locoroco 2,playstation-4,IGN Italia,The colorful and crazy world of LocoRoco 2 returns with an excellent remastered.,80,79
locoroco 2,playstation-4,Meristation,"LocoRoco 2 Remastered is a perfect opportunity for everyone: those who did not enjoy the title before and also those who keep a good memory and want to relive it. A game able to dazzle with his drawings and, above all, with its really great soundtrack.",80,79
locoroco 2,playstation-4,God is a Geek,"A great port of a nine year old PSP game, LocoRoco 2 Remastered is as fun as it has ever been. Colourful and downright adorable, it’s a game that everyone can (and should) play.",80,79
locoroco 2,playstation-4,GameOver.gr,"The beautiful platformer from Japan Studio hasn’t lost an ounce of its charm, and in PS4, with the enhanced resolution, it looks and feels better than ever.",80,79
locoroco 2,playstation-4,PLAY! Zine,"LocoRoco 2 Remastered brings the well deserved high resolution uplift to a timeless classic. With an unchanged essence, LocoRoco 2 is still that charming and silly platformer we fell in love with ages ago. If you’ve never played it before, yet refuse do to so now... what's wrong with you, are you loco? Bad pun - but a great game.",80,79
locoroco 2,playstation-4,Eurogamer Italy,"LocoRoco 2 Remastered is proof that certain games never get old. Funny as nine years later, thanks to the high definition, the game amazes even more easily.",80,79
locoroco 2,playstation-4,Playstation Official Magazine UK,"The superior game in the series. [Feb 2018, p.91]",80,79
locoroco 2,playstation-4,IGN Spain,"Colorful & delightful, LocoRoco 2 Remastered is simply a great option for all players to revive one of the cutest experiences ever in platforming games. Don't miss it, if you have the chance; it's deeper than it seems.",78,79
locoroco 2,playstation-4,Vandal,"LocoRoco 2 still is a great game, but it doesn't offer anything you couldn't find in the original. Anyway, it's a good opportunity for new players to discover it.",78,79
locoroco 2,playstation-4,Impulsegamer,"Sony’s more esoteric puzzle and rhythm-based games are a bit of an acquired taste, with the pervading cheeriness and garish graphics serving as a turn off for some, but if you dig on these kind of games then LocoRoco 2 offers up a nice evolution upon the formula of the first title.",78,79
locoroco 2,playstation-4,Critical Hit,"As with the first game, LocoRoco 2 Remastered is an unremarkable remaster of a delightfully charming game. The game’s bright and colourful visuals pop in higher resolutions, and the music comes to life through bigger speakers than the PSP offered. It’s a pity that like other PSP remasters, the cut scenes are a blurry mess, but that’s a minor complaint.",75,79
locoroco 2,playstation-4,SpazioGames,"LocoRoco 2 brings to the table a solid platform experience that resembles too closely its predecessor. However, the game is still highly recommended for all those who loved the first chapter.",75,79
locoroco 2,playstation-4,Trusted Reviews,"LocoRoco 2 Remastered is a solid enhancement over the original release that fails to iron out all of the kinks I would have liked. The simplistic platforming and inventive level design are occasionally let down by imprecise controls, although this is far from a dealbreaker.",70,79
locoroco 2,playstation-4,TheSixthAxis,"LocoRoco 2 Remastered certainly gets the job done and while it is shorter than the original, there’s a ton of side content present. Its charming, minimalist detail looks great on the whole and runs as smoothly as one could hope for. The omission to that is with the low resolution cutscenes, which is somewhat ironic considering the emphasis on 4K in the marketing, but LocoRoco 2 Remastered is more of the same, which can only be a good thing.",70,79
locoroco 2,playstation-4,Merlin'in Kazanı (Turkey),"After ten years of release, LocoRoco 2 back with colorful adventure and innovative gameplay. Though lack of game engine might be tricky to deal, this doesn't mean you can't have fun playing LocoRoco 2.",70,79
locoroco 2,psp,1UP,"The game exudes a sense of innocence and charm that quickly sweeps away any frustrations, and leaves you whistling the theme song long after you put it down.",100,85
locoroco 2,psp,Gaming Age,"Once again, the LocoRoco 2 soundtrack takes center stage for me, with some great tunes scattered about the levels that are only aided by the different noises the LocoRoco and other creatures will make that seem to run in tandem with the music at times.",100,85
locoroco 2,psp,Extreme Gamer,"LocoRoco 2 is a shining example of how the PSP can be used to grab a share in the casual market along with hardcore gamers. LocoRoco 2 has so much charm that it is near impossible to hate. LocoRoco 2 can be enjoyed in long sittings, or quickly in a one-level run.",95,85
locoroco 2,psp,Worth Playing,You'll wind up playing through levels a couple of times past the point when you've unlocked everything - without even knowing there's nothing left to figure out - and it won't be a minute wasted.,95,85
locoroco 2,psp,Game Informer,"The core game is one of the strongest platformers out there, and the mountain of extras pile on the enjoyment.",93,85
locoroco 2,psp,GamingTrend,"Simply put, if you own a PSP and do not buy this game, shame on you. You’ll be missing one of the best games of the year.",93,85
locoroco 2,psp,IGN,"It may not be nearly as deep as the first game in terms of levels, but LocoRoco 2 delivers the same kind of visual flair, solid gameplay and musical addictiveness that the first game had.",91,85
locoroco 2,psp,VideoGamer,"Some will think the game too short, the gameplay repetitive and the experience too similar to the original to warrant forking out another £20, but those people are heartless grouches who no doubt spend their time scaring children and trampling on daisies. For everyone else, LocoRoco 2 is the most uplifting game available, not only on the title-shy PSP, but on any platform.",90,85
locoroco 2,psp,D+PAD Magazine,"While not as great a progression as it could have been, LocoRoco 2 still manages to squash, bounce and squeeze its way into must-have territory, and is as pristine a slice of portable gaming as one could hope for. Visually arresting, a pleasure to play and an aural triumph (we dare you not to hum along to the soundtrack!), the love and attention that has been lavished on its production veritably oozes from the screen.",90,85
locoroco 2,psp,WonderwallWeb,"Even though LocoRoco 2 is a sequel, it is still one of the most original and addictive games that you will play on your PSP.",90,85
locoroco 2,psp,Pocket Gamer UK,"One of the must-have PSP games of the year, LocoRoco 2 delivers everything we could have wanted - more stuff to unlock and plenty of joyful, secret-packed levels full of weirdness and wonder.",90,85
locoroco 2,psp,Playstation Official Magazine Australia,"Few games will make you smile more vibrantly. [Jan 2009, p.70]",90,85
locoroco 2,psp,Playstation: The Official Magazine (US),"If ""LocoRoco's"" too-cute art style turns you off or its odd gameplay still confuses you, trust me. Give LocoRoco 2 30 open-minded minutes. You won't regret it. [Mar 2009, p.74]",90,85
locoroco 2,psp,Gameplanet,No better and no worse than the original - but still an absolute joy in nearly every respect. This is a must-have title for the PSP.,90,85
locoroco 2,psp,DarkStation,"If you enjoyed the first, or are interested in getting into the series, then I would highly recommend checking this game out. Plus you can’t beat the $20 price point, that is some serious bang for your buck.",90,85
locoroco 2,psp,Kombo,It is hard not to like LocoRoco 2. It relishes in a happy mood and does its best to spread the happiness to everyone that picks up the game.,90,85
locoroco 2,psp,Vandal,"LocoRoco 2 wisely takes the torch of the first installment and succeeds again in PSP with an original title, fresh (though with the same basis than the first one) and extremely entertaining.",90,85
locoroco 2,psp,Gamervision,"LocoRoco 2 is a pleasure. It lacks the depth of some of its contemporaries, to be sure, but in terms of sheer enjoyment value few games come close. It’s euphoric, and there’s more than enough content and unlockables to justify the $19.99 price tag.",90,85
locoroco 2,psp,GameFocus,"LocoRoco 2 is a great continuation to the series and a game that most, if not all, PSP owners should have in their collection. Other than the minor gripe with the sensitive controls, there is a lot to love about this game. If you missed the opportunity to play the first, there is no real excuse to not get LocoRoco 2. At a very affordable price-point, you’re getting more than enough to satisfy your portable gaming needs for a long time.",90,85
locoroco 2,psp,PSM3 Magazine UK,"A slightly improved, gleeful and irresistible triumph only tempered by familiarity. [Issue#174, p.76]",89,85
locoroco 2,psp,IGN AU,"LocoRoco 2 may not stray too far from the original, but it’s a fantastic and utterly charming piece of game design nonetheless.",88,85
locoroco 2,psp,Games Master UK,"Some nice additions to a game that still cannot fail to make you smile. [Christmas 2008, p.85]",88,85
locoroco 2,psp,Play.tm,LocoRoco 2 could well be the most enjoyable mix of madcap nonsense and simple yet perfectly formed gameplay that there's been all year.,87,85
locoroco 2,psp,Da Gameboyz,"It is a game that is definitely the perfect game for any gamer in the family, from the hardcore to the most casual.",86,85
locoroco 2,psp,GameSpot,"Still hands-down the cutest franchise on the PSP, LocoRoco 2 adds enough new ideas to its already unique gameplay to make it a great improvement on the original game.",85,85
locoroco 2,psp,PALGN,"It's bigger, better and happier. Let a little LocoRoco love into your life and you'll never regret it.",85,85
