platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
playstation-4,locoroco 2,19,-76%,1,-4%,5,-20%,17,-85%,3,-15%,0,0%
psp,locoroco 2,50,-85%,8,-14%,1,-2%,54,-98%,1,-2%,0,0%
playstation-2,gallop racer 2006,N/A,N/A,N/A,N/A,N/A,N/A,7,-47%,7,-47%,1,-7%
pc,rise of nations,338,-84%,56,-14%,7,-2%,30,-100%,0,0%,0,0%
wii-u,bayonetta 2,1.3k,-89%,59,-4%,93,-6%,78,-98%,2,-3%,0,0%
nintendo-switch,bayonetta 2,539,-86%,44,-7%,45,-7%,31,-97%,0,0%,0,0%
playstation-2,burnout dominator,37,-76%,10,-20%,2,-4%,26,-59%,17,-39%,1,-2%
psp,burnout dominator,34,-71%,12,-25%,2,-4%,14,-61%,8,-35%,1,-4%
game-boy-advance,wario land 4,88,-88%,10,-10%,2,-2%,17,-100%,0,0%,0,0%
psp,naruto shippuden: kizuna drive,2,-13%,7,-47%,6,-40%,2,-9%,15,-68%,5,-23%
playstation-3,fallout 3,693,-78%,101,-11%,92,-10%,55,-96%,2,-4%,0,0%
xbox-360,fallout 3,1.6k,-78%,324,-16%,135,-6%,83,-99%,1,-1%,0,0%
pc,fallout 3,3.0k,-69%,914,-21%,434,-10%,45,-94%,3,-6%,0,0%
pc,age of conan: rise of the godslayer,33,-77%,4,-9%,6,-14%,13,-93%,1,-7%,0,0%
playstation-5,summoner: a goddess reborn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
game-boy-advance,shining soul,0,0%,3,-75%,1,-25%,1,-8%,8,-62%,4,-31%
psp,naruto: ultimate ninja heroes,4,-17%,16,-67%,4,-17%,5,-45%,6,-55%,0,0%
game-boy-advance,hamtaro: ham-ham games,6,-75%,1,-13%,1,-13%,13,-65%,7,-35%,0,0%
playstation-4,putty squad,10,-19%,6,-11%,37,-70%,0,0%,2,-25%,6,-75%
3ds,putty squad,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,3,-75%,1,-25%
pc,koihime enbu,1,-14%,5,-71%,1,-14%,2,-20%,8,-80%,0,0%
wii,skylanders giants,30,-58%,13,-25%,9,-17%,5,-63%,3,-38%,0,0%
playstation-3,skylanders giants,18,-58%,6,-19%,7,-23%,14,-67%,7,-33%,0,0%
xbox-360,skylanders giants,63,-74%,9,-11%,13,-15%,30,-86%,5,-14%,0,0%
wii-u,skylanders giants,19,-49%,12,-31%,8,-21%,5,-63%,3,-38%,0,0%
3ds,skylanders giants,4,-25%,4,-25%,8,-50%,1,-11%,7,-78%,1,-11%
playstation-2,24: the game,17,-61%,10,-36%,1,-4%,12,-23%,34,-64%,7,-13%
3ds,kid icarus: uprising,579,-86%,63,-9%,28,-4%,66,-88%,8,-11%,1,-1%
wii,wonder world amusement park,0,0%,1,-25%,3,-75%,0,0%,2,-22%,7,-78%
playstation-2,singstar pop,2,-33%,4,-67%,0,0%,6,-46%,7,-54%,0,0%
wii,sonic unleashed,124,-58%,59,-28%,31,-14%,7,-23%,21,-70%,2,-7%
playstation-3,sonic unleashed,281,-75%,68,-18%,26,-7%,1,-4%,15,-63%,8,-33%
xbox-360,sonic unleashed,780,-81%,129,-13%,54,-6%,7,-14%,33,-66%,10,-20%
playstation-2,sonic unleashed,80,-56%,44,-31%,19,-13%,0,0%,5,-100%,0,0%
wii,dragon ball: revenge of king piccolo,11,-61%,5,-28%,2,-11%,8,-32%,15,-60%,2,-8%
wii,star trek: conquest,1,-25%,2,-50%,1,-25%,1,-6%,9,-50%,8,-44%
playstation-2,star trek: conquest,6,-67%,3,-33%,0,0%,2,-13%,10,-67%,3,-20%
wii,prism: light the way,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
psp,driver '76,17,-52%,13,-39%,3,-9%,2,-7%,21,-75%,5,-18%
pc,silent hill 4: the room,122,-64%,45,-24%,23,-12%,10,-50%,8,-40%,2,-10%
playstation-2,silent hill 4: the room,344,-71%,112,-23%,27,-6%,31,-57%,22,-41%,1,-2%
xbox,silent hill 4: the room,33,-79%,6,-14%,3,-7%,31,-72%,11,-26%,1,-2%
ds,resident evil: deadly silence,37,-79%,4,-9%,6,-13%,16,-39%,22,-54%,3,-7%
pc,brothers in arms: earned in blood,60,-63%,25,-26%,10,-11%,21,-91%,2,-9%,0,0%
playstation-2,brothers in arms: earned in blood,9,-53%,6,-35%,2,-12%,11,-55%,9,-45%,0,0%
xbox,brothers in arms: earned in blood,11,-69%,5,-31%,0,0%,36,-88%,5,-12%,0,0%
