CSSID,GameID,comp_sent_corr_user,comp_sent_corr_global,comp_sent_confidence,comp_sent_adaptive
1,1,0.159,0.14,0.142,0.172
2,2,0.281,0.266,0.192,0.301
3,3,-0.04,-0.037,-0.026,-0.012
4,4,0.212,0.185,0.143,0.094
5,5,-0.051,-0.09,-0.045,-0.099
6,6,0.225,0.195,0.205,0.253
7,7,0.445,0.424,0.439,0.522
8,8,-0.11,-0.137,-0.126,-0.135
9,9,0.309,0.283,0.342,0.392
10,10,0.102,0.079,0.107,0.22
11,11,-0.377,-0.363,-0.372,-0.408
12,12,0.432,0.408,0.433,0.576
13,13,0.44,0.408,0.458,0.624
14,14,0.503,0.52,0.586,0.786
15,15,0.067,0.056,0.027,0.016
16,16,0.148,0.13,0.141,0.166
17,17,0.072,0.048,0.055,0.092
18,18,0.634,0.628,0.63,0.875
19,19,0.431,0.41,0.456,0.498
20,20,0.466,0.454,0.462,0.609
21,21,0.256,0.224,0.261,0.315
22,22,0.676,0.668,0.689,0.887
23,23,0.2,0.176,0.209,0.195
24,24,0.351,0.339,0.37,0.429
25,25,0.497,0.481,0.519,0.595
26,26,0.16,0.144,0.151,0.219
27,27,0.245,0.218,0.261,0.315
28,28,0.449,0.422,0.462,0.557
29,29,-0.084,-0.104,-0.101,-0.173
30,30,0.417,0.388,0.434,0.587
31,31,0.021,-0.016,0.053,0.109
32,32,0.695,0.683,0.705,0.92
33,33,0.339,0.328,0.358,0.414
34,34,0.64,0.637,0.667,0.886
35,35,0.333,0.32,0.33,0.426
36,36,0.384,0.37,0.387,0.415
37,37,0.094,0.067,0.108,0.127
38,38,0.537,0.528,0.544,0.694
39,39,0.603,0.579,0.622,0.802
40,40,0.317,0.276,0.337,0.412
41,41,0.168,0.167,0.185,0.224
42,42,-0.53,-0.533,-0.507,-0.829
43,43,0.193,0.171,0.194,0.215
44,44,0.26,0.238,0.227,0.319
45,45,0.317,0.298,0.319,0.387
46,46,0.433,0.413,0.43,0.616
47,47,-0.042,-0.082,-0.05,-0.079
48,48,0.17,0.154,0.166,0.202
49,49,0.652,0.648,0.659,0.83
50,50,0.445,0.432,0.465,0.561
51,51,0.413,0.389,0.422,0.544
52,52,0.352,0.314,0.383,0.439
53,53,0.145,0.128,0.144,0.199
54,54,0.021,-0.009,-0.017,-0.012
55,55,0.304,0.265,0.319,0.417
56,56,-0.244,-0.291,-0.374,-0.6
57,57,0.25,0.242,0.263,0.307
58,58,0.321,0.307,0.325,0.423
59,59,0.101,0.06,0.115,0.145
60,60,0.26,0.258,0.267,0.358
61,61,0.035,0.008,-0.092,0.021
62,62,0.105,0.107,0.179,0.224
63,63,-0.194,-0.22,-0.221,-0.257
64,64,0.32,0.296,0.319,0.353
65,65,0.332,0.316,0.333,0.418
66,66,0.118,0.074,0.175,0.259
67,67,0.135,0.128,0.128,0.156
68,68,0.259,0.244,0.258,0.352
69,69,0.019,-0.007,0.01,0.018
70,70,-0.081,-0.103,-0.169,-0.177
71,71,0.081,0.071,0.115,0.226
72,72,0.633,0.621,0.625,0.852
73,73,0.697,0.689,0.712,0.876
74,74,0.193,0.198,0.26,0.287
75,75,0.37,0.343,0.39,0.474
76,76,0.361,0.346,0.366,0.485
77,77,-0.177,-0.195,-0.234,-0.31
78,78,-0.024,-0.046,-0.043,-0.02
79,79,0.375,0.352,0.378,0.489
80,80,-0.165,-0.197,-0.206,-0.196
81,81,0.283,0.253,0.275,0.317
82,82,0.217,0.176,0.208,0.263
83,83,0.499,0.478,0.504,0.636
84,84,0.29,0.263,0.277,0.322
85,85,-0.001,-0.033,-0.03,-0.041
86,86,-0.044,-0.075,-0.059,-0.079
87,87,-0.086,-0.113,-0.101,-0.152
88,88,0.169,0.14,0.162,0.195
89,89,0.425,0.408,0.431,0.552
90,90,0.186,0.189,0.186,0.254
91,91,0.283,0.24,0.303,0.407
92,92,0.45,0.417,0.472,0.583
93,93,0.326,0.306,0.33,0.39
94,94,0.596,0.599,0.613,0.807
95,95,0.18,0.15,0.149,0.113
96,96,0.117,0.092,0.104,0.09
97,97,0.328,0.302,0.362,0.438
98,98,0.212,0.18,0.231,0.232
99,99,0.673,0.671,0.714,0.858
100,100,0.641,0.629,0.62,0.948
101,101,-0.047,-0.077,-0.079,-0.118
102,102,0.143,0.122,0.158,0.269
103,103,-0.065,-0.092,-0.075,-0.115
104,104,0.265,0.238,0.26,0.322
105,105,0.863,0.858,0.921,0.893
106,106,0.714,0.699,0.739,0.886
107,107,0.137,0.129,0.156,0.25
108,108,0.22,0.189,0.223,0.301
109,109,0.034,0.01,0.008,0.099
110,110,0.213,0.19,0.215,0.274
111,111,-0.039,-0.037,-0.057,0.054
112,112,-0.07,-0.101,-0.101,-0.148
113,113,0.302,0.283,0.23,0.311
114,114,-0.207,-0.257,-0.321,-0.518
115,115,0.214,0.179,0.175,0.19
116,116,0.221,0.202,0.257,0.223
117,117,0.178,0.163,0.179,0.213
118,118,0.091,0.07,0.086,0.082
119,119,0.276,0.256,0.276,0.33
120,120,0.71,0.698,0.729,0.902
121,121,0.088,0.043,0.07,-0.023
122,122,0.149,0.12,0.121,0.067
123,123,0.28,0.264,0.271,0.309
124,124,0.125,0.097,0.098,0.149
125,125,0.02,-0.009,0.006,0.035
126,126,0.419,0.394,0.402,0.486
127,127,0.088,0.073,0.076,0.076
128,128,0.008,-0.014,-0.023,-0.037
129,129,0.465,0.457,0.478,0.578
130,130,0.225,0.223,0.277,0.29
131,131,0.099,0.081,0.078,0.068
132,132,-0.082,-0.111,-0.104,-0.139
133,133,0.362,0.346,0.377,0.456
134,134,0.144,0.129,0.14,0.142
135,135,0.225,0.214,0.238,0.287
136,136,0.339,0.326,0.337,0.416
137,137,0.31,0.297,0.315,0.378
138,138,0.36,0.338,0.374,0.448
139,139,0.4,0.378,0.36,0.432
140,140,0.473,0.468,0.502,0.612
141,141,-0.06,-0.07,-0.116,-0.099
142,142,0.253,0.231,0.254,0.302
143,143,-0.24,-0.259,-0.271,-0.673
144,144,0.661,0.649,0.653,0.936
145,145,-0.031,-0.106,0.003,-0.004
146,146,0.507,0.481,0.525,0.693
147,147,0.345,0.305,0.362,0.446
148,148,0.304,0.286,0.299,0.402
149,149,0.294,0.269,0.302,0.352
150,150,0.368,0.343,0.375,0.512
151,151,0.277,0.247,0.276,0.345
152,152,0.777,0.77,0.824,0.868
153,153,0.278,0.233,0.311,0.416
154,154,0.318,0.305,0.351,0.505
155,155,0.261,0.247,0.218,0.197
156,156,0.354,0.338,0.354,0.435
157,157,0.708,0.696,0.725,0.917
158,158,0.641,0.63,0.635,0.846
159,159,0.463,0.439,0.457,0.604
160,160,0.291,0.279,0.299,0.436
161,161,0.458,0.449,0.46,0.695
162,162,0.082,0.064,0.017,-0.089
163,163,0.615,0.608,0.597,0.9
164,164,0.09,0.055,0.055,0.077
165,165,0.182,0.161,0.058,0.217
