CriticID,critic_name
1,1UP
2,360 Gamer Magazine UK
3,3DAvenue
4,3DJuegos
5,4Players.de
6,9Lives
7,Absolute Games
8,Absolute Playstation
9,AceGamez
10,ActionTrip
11,Adrenaline Vault
12,Adventure Game Hotspot
13,Adventure Gamers
14,All Game Guide
15,AltGaming
16,Antagonist
17,Arcade Sushi
18,Areajugones
19,Armchair Empire
20,Ars Technica
21,AtomicGamer
22,Atomix
23,Attack of the Fanboy
24,AusGamers
25,Australian GamePro
26,BBC Sport
27,BaziCenter
28,BigPond GameArena
29,Bit-Gamer
30,BonusStage
31,Boomtown
32,Brash Games
33,But Why Tho?
34,CD-Action
35,CGMagazine
36,CNET Gamecenter
37,COGconnected
38,CPUGamer
39,CalmDownTom
40,Carole Quintaine
41,Cheat Code Central
42,CheckOut
43,Checkpoint Gaming
44,Cincinnati Enquirer
45,Cinescape
46,Cloudchaser
47,Computer Games Magazine
48,Computer Games Online RO
49,Computer Gaming World
50,Computer and Video Games
51,Console Gameworld
52,Console Monster
53,Core Magazine
54,Critical Hit
55,Cubed3
56,Cultured Vultures
57,Cynamite
58,D+PAD Magazine
59,Da Gameboyz
60,Daily Radar
61,Daily Star
62,DailyGame
63,DarkStation
64,DarkZero
65,Dealspwn
66,Deeko
67,Destructoid
68,Detroit Free Press
69,Dexerto
70,Digital Chumps
71,Digital Entertainment News
72,Digital Spy
73,Digital Trends
74,Digitally Downloaded
75,Dot Esports
76,DualShockers
77,EGM
78,Edge Magazine
79,Electric Playground
80,Electronic Gaming Monthly
81,Entertainment Weekly
82,Eurogamer
83,Eurogamer Germany
84,Eurogamer Italy
85,Eurogamer Poland
86,Eurogamer Portugal
87,Eurogamer Spain
88,Eurogamer Sweden
89,Everyeye.it
90,Examiner
91,Extreme Gamer
92,FHM
93,FNintendo
94,Ferrago
95,Firing Squad
96,FiringSquad
97,Four Fat Chicks
98,Frictionless Insight
99,G4 TV
100,GAMES.CH
101,GAMINGbible
102,GBA Central
103,GGRecon
104,GIGA
105,GMR Magazine
106,GRYOnline.pl
107,Game Almighty
108,Game Chronicles
109,Game Debate
110,Game Informer
111,Game Over Online
112,Game Positive
113,Game Power Australia
114,Game Rant
115,Game Revolution
116,Game World Navigator Magazine
117,GameBiz
118,GameBrink
119,GameCrate
120,GameCritics
121,GameCube Advanced
122,GameCube Europe
123,GameDaily
124,GameFocus
125,GameFront
126,GameGrin
127,GameMAG
128,GameNow
129,GameOver.gr
130,GamePen
131,GamePower
132,GamePro
133,GamePro Germany
134,GameReviewer
135,GameScience
136,GameShark
137,GameSkinny
138,GameSpace
139,GameSpew
140,GameSpot
141,GameSpot AU
142,GameSpy
143,GameStar
144,GameTap
145,GameTrailers
146,GameWatcher
147,GameZone
148,Gameblog.fr
149,Gamekult
150,Gamenikki
151,Gameplanet
152,Gameplayer
153,Gameplayer Sweden
154,Gamepressure
155,Gamer 2.0
156,Gamer Escape
157,Gamer Limit
158,Gamer's Hell
159,Gamer's Pulse
160,Gamer.nl
161,Gamer.no
162,Gamer.tv
163,GamerArchive
164,GamerFeed
165,GamerNode
166,GamerWeb Nintendo
167,GamerWeb PC
168,GamerWeb Sony
169,GamerWeb Xbox
170,Gamereactor Denmark
171,Gamereactor Sweden
172,Gamers Depot
173,Gamers Europe
174,Gamers' Temple
175,Gamers.at
176,GamersRD
177,Gamers\' Temple
178,Gamervision
179,Games Master UK
180,Games Radar
181,Games.cz
182,GamesBeat
183,GamesNation
184,GamesRadar+
185,GamesVillage.it
186,Gamestyle
187,Gamezilla!
188,Gaming Age
189,Gaming Horizon
190,Gaming Illustrated
191,Gaming Maxx
192,Gaming Nexus
193,Gaming Target
194,GamingExcellence
195,GamingTrend
196,GamingWorld X
197,GamingXP
198,Generación Xbox
199,Giant Bomb
200,God is a Geek
201,GotNext
202,Guardian
203,Happy Puppy
204,Hardcore Gamer
205,HellBored
206,High-Def Digest
207,Hobby Consolas
208,Hooked Gamers
209,Hot Games
210,Hyper Magazine
211,IC-Games
212,ICXM
213,IGN
214,IGN AU
215,IGN Benelux
216,IGN Brasil
217,IGN Denmark
218,IGN Deutschland
219,IGN France
220,IGN Italia
221,IGN Spain
222,IGN Sweden
223,IGN UK
224,INVEN
225,Impulsegamer
226,IncGamers
227,Inside Gamer Online
228,InsideGamer.nl
229,Into Liquid Sky
230,JeuxActu
231,Jeuxvideo.com
232,Jolt Online Gaming UK
233,Joystiq
234,Just Adventure
235,Just RPG
236,KeenGamer
237,Kikizo
238,Kill Screen
239,Kombo
240,LEVEL (Czech Republic)
241,LaPS4
242,Level7.nu
243,LevelUp
244,Loaded Inc
245,M3
246,MEGamers
247,MGG
248,MMORPG.com
249,MS Xbox World
250,Machinima
251,Malditos Nerds
252,Maxi Consolas (Portugal)
253,Maxim Online
254,Media and Games Online Network
255,Meristation
256,Merlin'in Kazanı (Turkey)
257,Metro GameCentral
258,MeuPlayStation
259,Modojo
260,MondoXbox
261,Movies Games and Tech
262,Multiplayer.it
263,My Gamer
264,N-Europe
265,N-Insanity
266,NGC Magazine UK
267,NTSC-uk
268,NZGamer
269,New Game Network
270,Next Generation Magazine
271,Next Level Gaming
272,Nintenderos
273,Nintendo Enthusiast
274,Nintendo Force Magazine
275,Nintendo Gamer
276,Nintendo Insider
277,Nintendo Life
278,Nintendo Power
279,NintendoWorldReport
280,Nintendojo
281,Nintendophiles
282,Nintendorks
283,Noisy Pixel
284,NowGamer
285,Official Nintendo Magazine UK
286,Official PlayStation Magazine Benelux
