CriticReviewID,CriticID,GameID,PlatformID,review_text,critic_score
1,5,1306,10,Quotation forthcoming.,92
2,262,1306,10,LocoRoco 2 is the perfect opportunity to recover the small masterpiece created by Japan Studio.,85
3,18,1306,10,LocoRoco 2 Remastered has adapted perfectly the controls to PlayStation 4 and is way better than the original one. New levels and secrets that make this game a must-have for those who like original games of this genre.,85
4,328,1306,10,"The core of this classic has not been touched, and this remains the same LocoRoco 2 many gamers have fond memories of. Pick this up if you’re a fan of the series, or especially if you never tried the original release and want the best version available.",80
5,345,1306,10,"Aside from some more inventive level design and a couple of new bells and whistles to keep you occupied, LocoRoco 2 Remastered is more of the same, which in our book is no bad thing. There’s little here that will surprise you, but it does just as good a job as the first game in providing a simple, grin-inducing few hours. We’ve rather enjoyed revisiting both titles this year, and we think fans old and new will still get a lot of fun out of them. Games as jovial as this one don’t come around very often these days, so if you’re after something light, you’ll have a ball.",80
6,220,1306,10,The colorful and crazy world of LocoRoco 2 returns with an excellent remastered.,80
7,255,1306,10,"LocoRoco 2 Remastered is a perfect opportunity for everyone: those who did not enjoy the title before and also those who keep a good memory and want to relive it. A game able to dazzle with his drawings and, above all, with its really great soundtrack.",80
8,200,1306,10,"A great port of a nine year old PSP game, LocoRoco 2 Remastered is as fun as it has ever been. Colourful and downright adorable, it’s a game that everyone can (and should) play.",80
9,129,1306,10,"The beautiful platformer from Japan Studio hasn’t lost an ounce of its charm, and in PS4, with the enhanced resolution, it looks and feels better than ever.",80
10,308,1306,10,"LocoRoco 2 Remastered brings the well deserved high resolution uplift to a timeless classic. With an unchanged essence, LocoRoco 2 is still that charming and silly platformer we fell in love with ages ago. If you’ve never played it before, yet refuse do to so now... what's wrong with you, are you loco? Bad pun - but a great game.",80
11,84,1306,10,"LocoRoco 2 Remastered is proof that certain games never get old. Funny as nine years later, thanks to the high definition, the game amazes even more easily.",80
12,332,1306,10,"The superior game in the series. [Feb 2018, p.91]",80
13,221,1306,10,"Colorful & delightful, LocoRoco 2 Remastered is simply a great option for all players to revive one of the cutest experiences ever in platforming games. Don't miss it, if you have the chance; it's deeper than it seems.",78
14,408,1306,10,"LocoRoco 2 still is a great game, but it doesn't offer anything you couldn't find in the original. Anyway, it's a good opportunity for new players to discover it.",78
15,225,1306,10,"Sony’s more esoteric puzzle and rhythm-based games are a bit of an acquired taste, with the pervading cheeriness and garish graphics serving as a turn off for some, but if you dig on these kind of games then LocoRoco 2 offers up a nice evolution upon the formula of the first title.",78
16,54,1306,10,"As with the first game, LocoRoco 2 Remastered is an unremarkable remaster of a delightfully charming game. The game’s bright and colourful visuals pop in higher resolutions, and the music comes to life through bigger speakers than the PSP offered. It’s a pity that like other PSP remasters, the cut scenes are a blurry mess, but that’s a minor complaint.",75
17,365,1306,10,"LocoRoco 2 brings to the table a solid platform experience that resembles too closely its predecessor. However, the game is still highly recommended for all those who loved the first chapter.",75
18,399,1306,10,"LocoRoco 2 Remastered is a solid enhancement over the original release that fails to iron out all of the kinks I would have liked. The simplistic platforming and inventive level design are occasionally let down by imprecise controls, although this is far from a dealbreaker.",70
19,387,1306,10,"LocoRoco 2 Remastered certainly gets the job done and while it is shorter than the original, there’s a ton of side content present. Its charming, minimalist detail looks great on the whole and runs as smoothly as one could hope for. The omission to that is with the low resolution cutscenes, which is somewhat ironic considering the emphasis on 4K in the marketing, but LocoRoco 2 Remastered is more of the same, which can only be a good thing.",70
20,256,1306,10,"After ten years of release, LocoRoco 2 back with colorful adventure and innovative gameplay. Though lack of game engine might be tricky to deal, this doesn't mean you can't have fun playing LocoRoco 2.",70
21,1,1306,13,"The game exudes a sense of innocence and charm that quickly sweeps away any frustrations, and leaves you whistling the theme song long after you put it down.",100
22,188,1306,13,"Once again, the LocoRoco 2 soundtrack takes center stage for me, with some great tunes scattered about the levels that are only aided by the different noises the LocoRoco and other creatures will make that seem to run in tandem with the music at times.",100
23,91,1306,13,"LocoRoco 2 is a shining example of how the PSP can be used to grab a share in the casual market along with hardcore gamers. LocoRoco 2 has so much charm that it is near impossible to hate. LocoRoco 2 can be enjoyed in long sittings, or quickly in a one-level run.",95
24,427,1306,13,You'll wind up playing through levels a couple of times past the point when you've unlocked everything - without even knowing there's nothing left to figure out - and it won't be a minute wasted.,95
25,110,1306,13,"The core game is one of the strongest platformers out there, and the mountain of extras pile on the enjoyment.",93
26,195,1306,13,"Simply put, if you own a PSP and do not buy this game, shame on you. You’ll be missing one of the best games of the year.",93
27,213,1306,13,"It may not be nearly as deep as the first game in terms of levels, but LocoRoco 2 delivers the same kind of visual flair, solid gameplay and musical addictiveness that the first game had.",91
28,413,1306,13,"Some will think the game too short, the gameplay repetitive and the experience too similar to the original to warrant forking out another £20, but those people are heartless grouches who no doubt spend their time scaring children and trampling on daisies. For everyone else, LocoRoco 2 is the most uplifting game available, not only on the title-shy PSP, but on any platform.",90
29,58,1306,13,"While not as great a progression as it could have been, LocoRoco 2 still manages to squash, bounce and squeeze its way into must-have territory, and is as pristine a slice of portable gaming as one could hope for. Visually arresting, a pleasure to play and an aural triumph (we dare you not to hum along to the soundtrack!), the love and attention that has been lavished on its production veritably oozes from the screen.",90
30,426,1306,13,"Even though LocoRoco 2 is a sequel, it is still one of the most original and addictive games that you will play on your PSP.",90
31,334,1306,13,"One of the must-have PSP games of the year, LocoRoco 2 delivers everything we could have wanted - more stuff to unlock and plenty of joyful, secret-packed levels full of weirdness and wonder.",90
32,331,1306,13,"Few games will make you smile more vibrantly. [Jan 2009, p.70]",90
