GameID,game_title
1,007: quantum of solace
2,100 classic books
3,101-in-1 explosive megamix
4,1701 a.d.
5,18 wheeler: american pro trucker
6,2002 fifa world cup
7,2010 fifa world cup south africa
8,2014 fifa world cup brazil
9,24: the game
10,25 to life
11,300: march to glory
12,3d dot game heroes
13,4x4 evo 2
14,4x4 evolution
15,50 cent: blood on the sand
16,50 cent: bulletproof
17,7 days to die
18,7 wonders of the ancient world
19,7th dragon iii code: vfd
20,a boy and his blob
21,a new beginning
22,a witch's tale
23,ace attorney investigations: miles edgeworth
24,ace combat 04: shattered skies
25,ace combat 5: the unsung war
26,ace combat 6: fires of liberation
27,ace combat x: skies of deception
28,ace combat zero: the belkan war
29,ace combat: assault horizon
30,ace combat: assault horizon legacy
31,ace combat: joint assault
32,activision anthology
33,advance wars
34,advance wars 2: black hole rising
35,advance wars: days of ruin
36,advance wars: dual strike
37,advent rising
38,adventure time: finn & jake investigations
39,adventures to go!
40,aero elite: combat academy
41,afro samurai
42,agatha christie: and then there were none
43,agatha christie: the abc murders
44,age of conan: rise of the godslayer
45,age of empires iii
46,age of empires iii: the asian dynasties
47,age of empires online
48,age of empires: mythologies
49,age of empires: the age of kings
50,age of mythology
51,age of mythology: the titans
52,aggressive inline
53,aidyn chronicles: the first mage
54,air conflicts: secret wars
55,airblade
56,airforce delta storm
57,alan wake
58,alice: madness returns
59,alien hominid
60,alien: isolation
61,aliens in the attic
62,aliens versus predator: extinction
63,aliens: colonial marines
64,aliens: infestation
65,all-pro football 2k8
66,all-star baseball 2002
67,alone in the dark
68,alone in the dark: the new nightmare
69,alpha protocol
70,alter echo
71,american idol
72,amped 2
73,amped 3
74,amped: freestyle snowboarding
75,amplitude
76,anarchy reigns
77,angry birds
78,angry birds trilogy
79,animal crossing
80,animal crossing: amiibo festival
81,animal crossing: city folk
82,animal crossing: happy home designer
83,animal crossing: new leaf
84,animal crossing: wild world
85,anno 2070
86,anno 2205
87,apache: air assault
88,ape escape 2
89,ape escape 3
90,ape escape academy
91,ape escape: on the loose
92,ape escape: pumped & primed
93,apollo justice: ace attorney
94,aquapazza: aquaplus dream match
95,ar nosurge: ode to an unborn star
96,ar tonelico qoga: knell of ar ciel
97,ar tonelico: melody of elemia
98,arc rise fantasia
99,arc the lad: twilight of the spirits
100,arcana heart
101,arcania: gothic 4
102,arctic thunder
103,arma ii
104,armed and dangerous
105,armored core 2: another age
106,armored core 3
107,armored core 4
108,armored core v
109,armored core: for answer
110,armored core: last raven
111,armored core: nexus
112,armored core: verdict day
113,army corps of hell
114,army men: green rogue
115,army men: rts
116,army men: sarge's war
117,army of two
118,army of two: the 40th day
119,army of two: the devil's cartel
120,arslan: the warriors of legend
121,art academy
122,art academy: lessons for everyone
123,arx fatalis
124,asphalt 3d
125,asphalt: injection
126,asphalt: urban gt
127,assassin's creed
128,assassin's creed chronicles: china
129,assassin's creed ii
130,assassin's creed ii: discovery
131,assassin's creed iii
132,assassin's creed iii: liberation
133,assassin's creed iv: black flag
134,assassin's creed syndicate
135,assassin's creed: bloodlines
136,assassin's creed: brotherhood
137,assassin's creed: revelations
138,assetto corsa
139,astro boy
140,astro boy: omega factor
141,astro boy: the video game
142,asura's wrath
143,atari anniversary advance
144,atari anthology
145,atelier annie: alchemists of sera island
146,atelier ayesha: the alchemist of dusk
147,atelier escha & logy: alchemists of the dusk sky
148,atelier iris: eternal mana
149,atelier shallie: alchemists of the dusk sea
150,atelier sophie: the alchemist of the mysterious book
151,atelier totori: the adventurer of arland
152,athens 2004
153,attack on titan: humanity in chains
154,atv offroad fury
155,atv offroad fury 2
156,atv offroad fury 3
157,atv offroad fury pro
158,atv quad power racing 2
159,auto modellista
160,avalon code
161,avatar: the last airbender
162,avatar: the last airbender - the burning earth
163,azurik: rise of perathia
164,back to the future: the game
165,backyard wrestling 2: there goes the neighborhood
166,backyard wrestling: don't try this at home
167,bad boys: miami takedown
168,baldur's gate: dark alliance
169,baldur's gate: dark alliance ii
170,band hero
171,banjo-kazooie: grunty's revenge
172,banjo-kazooie: nuts & bolts
173,banjo-pilot
174,baroque
175,baten kaitos origins
176,baten kaitos: eternal wings and the lost ocean
177,batman begins
178,batman: arkham asylum
179,batman: arkham city
180,batman: arkham knight
181,batman: arkham origins
182,batman: arkham origins blackgate
183,batman: dark tomorrow
184,batman: rise of sin tzu
185,batman: vengeance
186,battalion wars
187,battalion wars 2
188,battle fantasia
189,battleborn
190,battlefield 1942
191,battlefield 2
192,battlefield 2142
193,battlefield 2: modern combat
194,battlefield 3
195,battlefield 4
196,battlefield vietnam
197,battlefield: bad company
198,battlefield: bad company 2
199,battles of prince of persia
200,battlestations: midway
201,battlestations: pacific
202,bayonetta
203,bayonetta 2
204,beach spikers: virtua beach volleyball
205,beat down: fists of vengeance
206,beaterator
207,beautiful katamari
208,bejeweled 3
209,bejeweled twist
210,ben 10 alien force: vilgax attacks
211,beowulf: the game
212,beyond good & evil
213,beyond: two souls
214,big brain academy
215,big brain academy: wii degree
216,big mutha truckers
217,billy hatcher and the giant egg
218,binary domain
219,bionicle
220,bionicle heroes
221,bioshock
222,bioshock 2
223,bioshock infinite
224,birds of steel
225,black
226,black & bruised
227,black & white
228,black & white 2
229,blacksite: area 51
230,blade ii
231,blades of time
232,bladestorm: nightmare
233,bladestorm: the hundred years' war
234,blazblue: calamity trigger
235,blazblue: chrono phantasma
236,blazblue: chrono phantasma extend
237,blazblue: continuum shift
238,blazblue: continuum shift extend
239,blazblue: continuum shift ii
240,blazing angels 2: secret missions of wwii
241,blazing angels: squadrons of wwii
242,bleach: dark souls
243,bleach: shattered blade
244,bleach: soul resurreccion
245,bleach: the blade of fate
246,blinx 2: masters of time & space
247,blinx: the time sweeper
248,blitz: the league
249,blitz: the league ii
250,blood omen 2
251,blood wake
252,bloodborne
253,bloodrayne
254,bloodrayne 2
255,bloody roar 3
256,bloody roar 4
257,bloody roar: primal fury
258,blowout
259,blue dragon
260,blue dragon plus
261,blur
262,bmx xxx
263,boktai: the sun is in your hand
264,bomberman generation
265,bomberman land
266,bomberman land touch!
267,boom blox
268,boom blox bash party
269,borderlands
270,borderlands 2
271,borderlands: the handsome collection
272,borderlands: the pre-sequel
273,botanicula
274,bound by flame
275,braid
276,brain age 2: more training in minutes a day
277,brain age: concentration training
278,bratz: rock angelz
279,bravely second: end layer
280,breakdown
281,breath of fire
282,breath of fire: dragon quarter
283,brink
284,britney's dance beat
285,broken sword 5: the serpent's curse
286,broken sword: the shadow of the templars
287,broken sword: the sleeping dragon
288,brothers in arms: d-day
289,brothers in arms: double time
290,brothers in arms: earned in blood
291,brothers in arms: hell's highway
292,brothers in arms: road to hill 30
293,brothers: a tale of two sons
294,bruce lee: quest of the dragon
295,brutal legend
296,brute force
297,buffy the vampire slayer
298,buffy the vampire slayer: chaos bleeds
299,build-a-bear workshop: a friend fur all seasons
300,bujingai: the forsaken city
301,bullet witch
302,bulletstorm
303,bully
304,bully: scholarship edition
305,burnout 2: point of impact
306,burnout 3: takedown
307,burnout dominator
308,burnout legends
309,burnout paradise
310,burnout revenge
311,bust-a-move bash!
312,bust-a-move universe
313,buzz! master quiz
314,buzz! quiz tv
315,buzz! quiz world
316,buzz! the hollywood quiz
317,buzz! the mega quiz
318,c.o.p.: the recruit
319,cabela's big game hunter
320,cabela's dangerous hunts 2011
321,call of cthulhu: dark corners of the earth
322,call of duty 2
323,call of duty 2: big red one
324,call of duty 3
325,call of duty 4: modern warfare
326,call of duty: advanced warfare
327,call of duty: black ops
328,call of duty: black ops ii
329,call of duty: finest hour
330,call of duty: ghosts
331,call of duty: modern warfare 2
332,call of duty: modern warfare 3
333,call of duty: world at war
334,call of juarez
335,call of juarez: bound in blood
336,call of juarez: the cartel
337,calling
338,capcom classics collection
339,capcom classics collection reloaded
340,capcom classics collection remixed
341,capcom fighting evolution
342,captain america: super soldier
343,captain toad: treasure tracker
344,carmageddon: max damage
345,carmen sandiego: the secret of the stolen drums
346,cartoon network: punch time explosion
347,casper: spirit dimensions
348,castlevania chronicles
349,castlevania judgment
350,castlevania: aria of sorrow
351,castlevania: circle of the moon
352,castlevania: curse of darkness
353,castlevania: dawn of sorrow
354,castlevania: harmony of dissonance
355,castlevania: lament of innocence
356,castlevania: lords of shadow
357,castlevania: lords of shadow - mirror of fate
358,castlevania: lords of shadow 2
359,castlevania: order of ecclesia
360,castlevania: portrait of ruin
361,castlevania: the dracula x chronicles
362,catherine
363,cave story 3d
364,cel damage
365,ceville
366,champions of norrath
367,champions: return to arms
368,championship motocross 2001 featuring ricky carmichael
369,chaos legion
370,charlie and the chocolate factory
371,chibi-robo! park patrol
372,chibi-robo! zip lash
373,chicago enforcer
374,chicken shoot
375,child of eden
376,child of light
377,children of mana
378,chromehounds
379,chronicles of mystery: curse of the ancient temple
380,chuchu rocket!
381,cities in motion
382,cities: skylines
383,class of heroes
384,clive barker's jericho
385,clock tower 3
386,close combat: first to fight
387,cloudy with a chance of meatballs
388,clubhouse games
389,code lyoko: quest for infinity
390,code name: s.t.e.a.m.
391,coded arms
392,codename: kids next door: operation v.i.d.e.o.g.a.m.e.
393,cold fear
394,cold winter
395,colin mcrae rally 04
396,colin mcrae rally 2005
397,colin mcrae rally 3
398,combat elite: wwii paratroopers
399,combat of giants: dinosaurs 3d
400,command & conquer 3: kane's wrath
401,command & conquer 3: tiberium wars
402,command & conquer 4: tiberian twilight
403,command & conquer: red alert 3
404,command & conquer: the first decade
405,commandos 3: destination berlin
406,company of heroes
407,company of heroes 2
408,company of heroes: opposing fronts
409,company of heroes: tales of valor
410,conception ii: children of the seven stars
411,condemned 2: bloodshot
412,condemned: criminal origins
413,conduit 2
414,conflict: desert storm
415,conflict: global terror
416,conflict: vietnam
417,conker's bad fur day
418,contra 4
419,contra: shattered soldier
420,cooking mama
421,cooking mama 2: dinner with friends
422,cooking mama 3: shop & chop
423,cooking mama: cook off
424,cooking mama: world kitchen
425,coraline
426,corpse party: blood drive
427,corvette
428,cossacks: european wars
429,counter-strike
430,counter-strike: source
431,crackdown
432,crackdown 2
433,crash 'n' burn
434,crash bandicoot 2: n-tranced
435,crash bandicoot purple: ripto's rampage
436,crash bandicoot: the huge adventure
437,crash bandicoot: the wrath of cortex
438,crash boom bang!
439,crash nitro kart
440,crash of the titans
441,crash tag team racing
442,crash: mind over mutant
443,crazy taxi 3: high roller
444,crazy taxi: catch a ride
445,crazy taxi: fare wars
446,criminal girls: invite only
447,crimson skies: high road to revenge
448,crisis core: final fantasy vii
449,cross edge
450,crosswords
451,cruis'n
452,crysis
453,crysis 2
454,crysis 3
455,csi: crime scene investigation
456,cubic ninja
457,cubivore: survival of the fittest
458,culdcept saga
459,curious george
460,cursed mountain
461,custom robo
462,custom robo arena
463,damnation
464,dance central 2
465,dance central 3
466,dance dance revolution extreme 2
467,dance dance revolution supernova
468,dance dance revolution supernova 2
469,dance dance revolution universe
470,dance dance revolution: mario mix
471,danganronpa 2: goodbye despair
472,danganronpa another episode: ultra despair girls
473,danganronpa: trigger happy havoc
474,dante's inferno
475,dark cloud 2
476,dark sector
477,dark souls
478,dark souls ii
479,dark souls iii
480,dark void
481,darksiders
482,darksiders ii
483,darkspore
484,darkstalkers chronicle: the chaos tower
485,darkstar one
486,darkstone
487,data east arcade classics
488,dave mirra freestyle bmx 2
489,dawn of discovery
490,dawn of mana
491,daxter
492,dc universe online
493,de blob
494,de blob 2
495,dead island
496,dead island: riptide
497,dead man's hand
498,dead or alive 3
499,dead or alive 4
500,dead or alive 5
501,dead or alive paradise
502,dead or alive ultimate
503,dead or alive xtreme 2
504,dead rising
505,dead rising 2
506,dead rising 2: off the record
507,dead rising 3
508,dead rising: chop till you drop
509,dead space
510,dead space 2
511,dead space 3
512,dead to rights
513,dead to rights ii
514,dead to rights: reckoning
515,dead to rights: retribution
516,deadly creatures
517,deadly premonition
518,deadpool
519,death jr.
520,death jr.: root of evil
521,deathsmiles
522,deca sports
523,deception iv: blood ties
524,def jam vendetta
525,def jam: fight for ny
526,defiance
527,delta force: black hawk down
528,dementium ii
529,dementium: the ward
530,demigod
531,demon gaze
532,demon's souls
533,deponia
534,despicable me: the game - minion mayhem
535,destiny
536,destiny: the taken king
537,destroy all humans!
538,destroy all humans! 2
539,destroy all humans! big willy unleashed
540,destroy all humans! path of the furon
541,destruction derby arenas
542,deus ex: human revolution
543,deus ex: invisible war
544,deus ex: mankind divided
545,devil kings
546,devil may cry
547,devil may cry 2
548,devil may cry 3: dante's awakening
549,devil may cry 4
550,devil may cry hd collection
551,dewy's adventure
552,diablo ii: lord of destruction
553,diablo iii
554,diddy kong racing ds
555,die hard: vendetta
556,digimon all-star rumble
557,digimon racing
558,digimon rumble arena 2
559,digimon world 4
560,digimon world ds
561,digimon world: next order
562,dino crisis 3
563,dino stalker
564,dinosaur king
565,dinotopia: the timestone pirates
566,dirge of cerberus: final fantasy vii
567,dirt
568,dirt 2
569,dirt 3
570,dirt rally
571,dirt showdown
572,disaster report
573,disgaea 2: dark hero days
574,disgaea 3: absence of justice
575,disgaea 4: a promise unforgotten
576,disgaea 5: alliance of vengeance
577,disgaea d2: a brighter darkness
578,disgaea infinite
579,disgaea: afternoon of darkness
580,dishonored
581,disney art academy
582,disney infinity
583,disney magical world
584,disney universe
585,disney's chicken little
586,disney's extreme skate adventure
587,disney's kim possible 2: drakken's demise
588,disney's kim possible: kimmunicator
589,disney's lilo & stitch
590,disney's magical mirror starring mickey mouse
591,disney's meet the robinsons
592,disney's pk: out of the shadows
593,disney's stitch: experiment 626
594,disney's tarzan untamed
595,disney's the haunted mansion
596,dissidia 012: duodecim final fantasy
597,dissidia: final fantasy
598,divinity ii: ego draconis
599,divinity ii: the dragon knight saga
600,divinity: original sin
601,dj hero
602,dj hero 2
603,dmc: devil may cry
604,doctor lautrec and the forgotten knights
605,dog's life
606,dogz
607,dokapon kingdom
608,donkey kong country returns
609,donkey kong country: tropical freeze
610,donkey kong jungle beat
611,donkey konga
612,donkey konga 2
613,doom 3
614,doom 3 bfg edition
615,doom 3: resurrection of evil
616,downhill domination
617,dr. mario 64
618,draglade
619,dragon age ii
620,dragon age: inquisition
621,dragon age: origins
622,dragon ball gt: transformation
623,dragon ball z: attack of the saiyans
624,dragon ball z: battle of z
625,dragon ball z: budokai
626,dragon ball z: budokai 2
627,dragon ball z: budokai 3
628,dragon ball z: budokai tenkaichi
629,dragon ball z: budokai tenkaichi 2
630,dragon ball z: budokai tenkaichi 3
631,dragon ball z: burst limit
632,dragon ball z: buu's fury
633,dragon ball z: extreme butoden
634,dragon ball z: harukanaru densetsu
635,dragon ball z: infinite world
636,dragon ball z: sagas
637,dragon ball z: shin budokai
638,dragon ball z: shin budokai - another road
639,dragon ball z: supersonic warriors
640,dragon ball z: supersonic warriors 2
641,dragon ball z: taiketsu
