GPSID,GamePlatformID,game_title,platform,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
1,339,locoroco 2,playstation-4,19.0,-0.76,1.0,-0.04,5.0,-0.2,17.0,-0.85,3.0,-0.15,0.0,0.0
2,392,locoroco 2,psp,50.0,-0.85,8.0,-0.14,1.0,-0.02,54.0,-0.98,1.0,-0.02,0.0,0.0
3,158,rise of nations,pc,338.0,-0.84,56.0,-0.14,7.0,-0.02,30.0,-1.0,0.0,0.0,0.0,0.0
4,430,bayonetta 2,wii-u,1300.0,-0.89,59.0,-0.04,93.0,-0.06,78.0,-0.98,2.0,-0.03,0.0,0.0
5,98,bayonetta 2,nintendo-switch,539.0,-0.86,44.0,-0.07,45.0,-0.07,31.0,-0.97,0.0,0.0,0.0,0.0
6,256,burnout dominator,playstation-2,37.0,-0.76,10.0,-0.2,2.0,-0.04,26.0,-0.59,17.0,-0.39,1.0,-0.02
7,376,burnout dominator,psp,34.0,-0.71,12.0,-0.25,2.0,-0.04,14.0,-0.61,8.0,-0.35,1.0,-0.04
8,51,wario land 4,game-boy-advance,88.0,-0.88,10.0,-0.1,2.0,-0.02,17.0,-1.0,0.0,0.0,0.0,0.0
9,383,naruto shippuden: kizuna drive,psp,2.0,-0.13,7.0,-0.47,6.0,-0.4,2.0,-0.09,15.0,-0.68,5.0,-0.23
10,291,fallout 3,playstation-3,693.0,-0.78,101.0,-0.11,92.0,-0.1,55.0,-0.96,2.0,-0.04,0.0,0.0
11,495,fallout 3,xbox-360,1600.0,-0.78,324.0,-0.16,135.0,-0.06,83.0,-0.99,1.0,-0.01,0.0,0.0
12,155,fallout 3,pc,3000.0,-0.69,914.0,-0.21,434.0,-0.1,45.0,-0.94,3.0,-0.06,0.0,0.0
13,154,age of conan: rise of the godslayer,pc,33.0,-0.77,4.0,-0.09,6.0,-0.14,13.0,-0.93,1.0,-0.07,0.0,0.0
14,53,shining soul,game-boy-advance,0.0,0.0,3.0,-0.75,1.0,-0.25,1.0,-0.08,8.0,-0.62,4.0,-0.31
15,381,naruto: ultimate ninja heroes,psp,4.0,-0.17,16.0,-0.67,4.0,-0.17,5.0,-0.45,6.0,-0.55,0.0,0.0
16,56,hamtaro: ham-ham games,game-boy-advance,6.0,-0.75,1.0,-0.13,1.0,-0.13,13.0,-0.65,7.0,-0.35,0.0,0.0
17,152,koihime enbu,pc,1.0,-0.14,5.0,-0.71,1.0,-0.14,2.0,-0.2,8.0,-0.8,0.0,0.0
18,418,skylanders giants,wii,30.0,-0.58,13.0,-0.25,9.0,-0.17,5.0,-0.63,3.0,-0.38,0.0,0.0
19,287,skylanders giants,playstation-3,18.0,-0.58,6.0,-0.19,7.0,-0.23,14.0,-0.67,7.0,-0.33,0.0,0.0
20,501,skylanders giants,xbox-360,63.0,-0.74,9.0,-0.11,13.0,-0.15,30.0,-0.86,5.0,-0.14,0.0,0.0
21,429,skylanders giants,wii-u,19.0,-0.49,12.0,-0.31,8.0,-0.21,5.0,-0.63,3.0,-0.38,0.0,0.0
22,6,skylanders giants,3ds,4.0,-0.25,4.0,-0.25,8.0,-0.5,1.0,-0.11,7.0,-0.78,1.0,-0.11
23,262,24: the game,playstation-2,17.0,-0.61,10.0,-0.36,1.0,-0.04,12.0,-0.23,34.0,-0.64,7.0,-0.13
24,4,kid icarus: uprising,3ds,579.0,-0.86,63.0,-0.09,28.0,-0.04,66.0,-0.88,8.0,-0.11,1.0,-0.01
25,265,singstar pop,playstation-2,2.0,-0.33,4.0,-0.67,0.0,0.0,6.0,-0.46,7.0,-0.54,0.0,0.0
26,416,sonic unleashed,wii,124.0,-0.58,59.0,-0.28,31.0,-0.14,7.0,-0.23,21.0,-0.7,2.0,-0.07
27,292,sonic unleashed,playstation-3,281.0,-0.75,68.0,-0.18,26.0,-0.07,1.0,-0.04,15.0,-0.63,8.0,-0.33
28,504,sonic unleashed,xbox-360,780.0,-0.81,129.0,-0.13,54.0,-0.06,7.0,-0.14,33.0,-0.66,10.0,-0.2
29,253,sonic unleashed,playstation-2,80.0,-0.56,44.0,-0.31,19.0,-0.13,0.0,0.0,5.0,-1.0,0.0,0.0
30,426,dragon ball: revenge of king piccolo,wii,11.0,-0.61,5.0,-0.28,2.0,-0.11,8.0,-0.32,15.0,-0.6,2.0,-0.08
31,415,star trek: conquest,wii,1.0,-0.25,2.0,-0.5,1.0,-0.25,1.0,-0.06,9.0,-0.5,8.0,-0.44
32,224,star trek: conquest,playstation-2,6.0,-0.67,3.0,-0.33,0.0,0.0,2.0,-0.13,10.0,-0.67,3.0,-0.2
33,362,driver '76,psp,17.0,-0.52,13.0,-0.39,3.0,-0.09,2.0,-0.07,21.0,-0.75,5.0,-0.18
34,144,silent hill 4: the room,pc,122.0,-0.64,45.0,-0.24,23.0,-0.12,10.0,-0.5,8.0,-0.4,2.0,-0.1
35,232,silent hill 4: the room,playstation-2,344.0,-0.71,112.0,-0.23,27.0,-0.06,31.0,-0.57,22.0,-0.41,1.0,-0.02
36,451,silent hill 4: the room,xbox,33.0,-0.79,6.0,-0.14,3.0,-0.07,31.0,-0.72,11.0,-0.26,1.0,-0.02
37,21,resident evil: deadly silence,ds,37.0,-0.79,4.0,-0.09,6.0,-0.13,16.0,-0.39,22.0,-0.54,3.0,-0.07
38,143,brothers in arms: earned in blood,pc,60.0,-0.63,25.0,-0.26,10.0,-0.11,21.0,-0.91,2.0,-0.09,0.0,0.0
39,226,brothers in arms: earned in blood,playstation-2,9.0,-0.53,6.0,-0.35,2.0,-0.12,11.0,-0.55,9.0,-0.45,0.0,0.0
40,450,brothers in arms: earned in blood,xbox,11.0,-0.69,5.0,-0.31,0.0,0.0,36.0,-0.88,5.0,-0.12,0.0,0.0
41,489,project sylpheed: arc of deception,xbox-360,18.0,-0.82,0.0,0.0,4.0,-0.18,8.0,-0.18,34.0,-0.76,3.0,-0.07
42,448,superman: the man of steel,xbox,1.0,-0.13,2.0,-0.25,5.0,-0.63,0.0,0.0,5.0,-0.26,14.0,-0.74
44,355,megatagmension blanc + neptune vs zombies,playstation-vita,11.0,-0.44,9.0,-0.36,5.0,-0.2,4.0,-0.18,14.0,-0.64,4.0,-0.18
45,354,oreshika: tainted bloodlines,playstation-vita,68.0,-0.79,3.0,-0.03,15.0,-0.17,22.0,-0.85,3.0,-0.12,1.0,-0.04
46,482,gears of war 3,xbox-360,1700.0,-0.79,267.0,-0.13,186.0,-0.09,94.0,-0.98,2.0,-0.02,0.0,0.0
47,281,dirt 3,playstation-3,82.0,-0.59,40.0,-0.29,16.0,-0.12,50.0,-0.96,2.0,-0.04,0.0,0.0
48,484,dirt 3,xbox-360,125.0,-0.57,67.0,-0.31,27.0,-0.12,76.0,-0.94,5.0,-0.06,0.0,0.0
51,252,socom ii: u.s. navy seals,playstation-2,50.0,-0.86,2.0,-0.03,6.0,-0.1,39.0,-0.93,3.0,-0.07,0.0,0.0
52,33,mega man zero collection,ds,63.0,-0.83,4.0,-0.05,9.0,-0.12,11.0,-0.73,4.0,-0.27,0.0,0.0
53,242,xenosaga episode iii: also sprach zarathustra,playstation-2,92.0,-0.89,5.0,-0.05,6.0,-0.06,28.0,-0.82,6.0,-0.18,0.0,0.0
54,159,alone in the dark,pc,24.0,-0.4,27.0,-0.45,9.0,-0.15,15.0,-0.34,23.0,-0.52,4.0,-0.09
55,348,alone in the dark,playstation-5,178.0,-0.58,94.0,-0.31,35.0,-0.11,21.0,-0.27,45.0,-0.58,10.0,-0.13
56,555,alone in the dark,xbox-series-x,8.0,-0.57,4.0,-0.29,2.0,-0.14,11.0,-0.44,9.0,-0.36,3.0,-0.12
57,344,cities: skylines,playstation-4,87.0,-0.59,41.0,-0.28,20.0,-0.14,14.0,-0.93,1.0,-0.07,0.0,0.0
58,554,cities: skylines,xbox-one,55.0,-0.59,19.0,-0.2,19.0,-0.2,25.0,-0.83,5.0,-0.17,0.0,0.0
59,176,cities: skylines,pc,2000.0,-0.86,253.0,-0.11,83.0,-0.04,58.0,-0.97,2.0,-0.03,0.0,0.0
60,97,cities: skylines,nintendo-switch,40.0,-0.71,4.0,-0.07,12.0,-0.21,8.0,-0.44,9.0,-0.5,1.0,-0.06
61,372,dungeon siege: throne of agony,psp,25.0,-0.76,5.0,-0.15,3.0,-0.09,16.0,-0.5,16.0,-0.5,0.0,0.0
62,254,mega man anniversary collection,playstation-2,21.0,-0.68,4.0,-0.13,6.0,-0.19,23.0,-0.88,3.0,-0.12,0.0,0.0
63,444,mega man anniversary collection,xbox,6.0,-0.46,0.0,0.0,7.0,-0.54,10.0,-0.83,2.0,-0.17,0.0,0.0
64,76,mega man anniversary collection,gamecube,23.0,-0.74,1.0,-0.03,7.0,-0.23,30.0,-0.94,2.0,-0.06,0.0,0.0
66,545,puzzle quest: galactrix,xbox-360,3.0,-0.75,1.0,-0.25,0.0,0.0,18.0,-0.67,9.0,-0.33,0.0,0.0
