GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
1,1,2008,Action,Activision,Treyarch,3.91,1.84,1.35,0.04,0.68,76,69
2,2,2008,Misc,Nintendo,Genius Sonority Inc.,0.67,0.13,0.52,0.0,0.02,11,7
3,3,2008,Puzzle,Nordcurrent,Nordcurrent,0.1999999999999999,0.05,0.13,0.0,0.02,4,13
4,4,2006,Simulation,Deep Silver,Related Designs,0.3,0.0,0.25,0.0,0.05,26,30
5,5,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,0.51,0.29,0.1699999999999999,0.0,0.05,5,17
6,6,2002,Sports,Electronic Arts,EA Sports,0.84,0.39,0.22,0.16,0.0699999999999999,14,19
7,7,2010,Sports,Electronic Arts,Electronic Arts,3.0,0.94,1.46,0.13,0.47,52,61
8,8,2014,Sports,Electronic Arts,EA Canada,1.1700000000000002,0.29,0.67,0.01,0.2,119,33
9,9,2006,Adventure,Sony,SCE Studio Cambridge,0.31,0.15,0.12,0.0,0.04,28,53
10,10,2006,Shooter,Eidos Interactive,Ritual Entertainment,0.59,0.47,0.05,0.0,0.0699999999999999,24,23
11,11,2007,Action,Warner Bros. Interactive Entertainment,Collision Studios,0.41,0.27,0.08,0.0,0.06,29,31
12,12,2009,Role-Playing,SouthPeak Games,Silicon Studio,0.5800000000000001,0.36,0.12,0.03,0.07,76,66
13,13,2001,Racing,Gathering of Developers,Terminal Reality,0.38,0.29,0.08,0.0,0.01,0,15
14,14,2001,Racing,Gathering of Developers,Terminal Reality,0.32,0.16,0.12,0.0,0.04,19,23
15,15,2009,Shooter,THQ,Swordfish Studios,0.41,0.22,0.13,0.01,0.05,55,54
16,16,2005,Action,Vivendi Games,High Voltage Software,2.31,1.26,0.86,0.0,0.19,12,25
17,17,2016,Action,Telltale Games,Iron Galaxy Studios,0.16,0.05,0.09,0.0,0.02,218,17
18,18,2007,Puzzle,Funsta,Hot Lava Games,0.2,0.17,0.01,0.0,0.02,4,10
