GPID,GameID,difficulty_easy,difficulty_just_right,difficulty_simple,difficulty_tough,difficulty_unforgiving,play_time_lt_1_hour,play_time_ge_80_hours,play_time_approx_1_hour,play_time_approx_12_hours,play_time_approx_2_hours,play_time_approx_20_hours,play_time_approx_4_hours,play_time_approx_40_hours,play_time_approx_60_hours,play_time_approx_8_hours,completion_beat_it,completion_conquered_it,completion_halfway,completion_played_it,completion_tried_it,difficulty_avg,completion_avg,playtime_avg
1,1,21.09,67.19,1.56,10.16,0.0,0.0,3.23,0.0,29.03,1.08,18.28,5.38,7.53,2.15,33.33,50.0,21.57,3.27,11.76,13.4,1.8751,3.1798,16.928800000000003
2,2,14.55,16.36,67.27,1.82,0.0,7.41,74.07,0.0,3.7,3.7,7.41,0.0,0.0,3.7,0.0,12.59,8.89,4.44,36.3,37.78,1.2,1.6887999999999999,63.550099999999986
3,3,52.63,36.84,5.26,0.0,5.26,0.0,0.0,0.0,18.18,9.09,18.18,27.27,0.0,0.0,27.27,34.15,9.76,7.32,31.71,17.07,1.4735,2.3905999999999996,9.2718
4,4,3.03,81.82,3.03,9.09,3.03,0.0,33.33,0.0,6.67,0.0,13.33,0.0,20.0,20.0,6.67,25.0,10.71,10.71,42.86,10.71,2.0606,2.1783000000000006,50.66399999999999
5,5,18.18,67.53,2.6,11.69,0.0,9.62,3.85,7.69,11.54,13.46,15.38,11.54,3.85,0.0,23.08,33.09,14.71,8.09,22.06,22.06,1.9091,2.515,11.792650000000002
6,6,53.13,31.25,6.25,3.13,6.25,0.0,19.23,3.85,11.54,0.0,7.69,7.69,11.54,23.08,15.38,32.0,36.0,2.0,16.0,14.0,1.5001999999999998,3.06,38.328050000000005
7,7,20.22,65.17,4.49,10.11,0.0,0.0,15.69,0.0,11.76,7.84,33.33,5.88,13.73,3.92,7.84,31.87,18.13,7.5,26.88,15.63,1.8538,2.5751,29.492400000000004
8,8,8.51,80.85,4.26,6.38,0.0,3.7,7.41,0.0,11.11,3.7,33.33,3.7,25.93,3.7,7.41,27.69,16.92,10.77,36.92,7.69,1.9360999999999995,2.4459,27.371
9,9,11.63,69.77,0.0,17.44,1.16,0.0,1.82,0.0,34.55,0.0,25.45,5.45,10.91,1.82,20.0,45.0,17.78,3.33,15.56,18.33,2.0697,2.9167,17.965999999999998
10,10,18.0,60.0,6.0,12.0,4.0,2.78,0.0,0.0,30.56,5.56,2.78,25.0,2.78,5.56,25.0,50.67,18.67,5.33,10.67,14.67,1.92,3.1336,11.810199999999998
11,11,9.26,62.96,7.41,12.96,7.41,0.0,8.57,0.0,20.0,0.0,20.0,5.71,2.86,2.86,40.0,26.47,23.53,2.94,25.49,21.57,2.037,2.5294,19.5444
12,12,7.61,60.6,0.45,29.7,1.64,0.0,5.54,0.37,11.44,0.74,31.37,0.0,38.75,9.23,2.58,25.76,8.63,18.97,28.78,17.86,2.2327999999999997,2.2214,33.33985
13,13,25.0,50.0,5.0,10.0,10.0,6.25,12.5,6.25,50.0,0.0,6.25,6.25,12.5,0.0,0.0,37.14,14.29,2.86,28.57,17.14,1.9,2.5715,22.59375
14,14,6.25,65.63,0.0,21.88,6.25,0.0,5.56,0.0,22.22,0.0,27.78,0.0,16.67,16.67,11.11,34.69,10.2,8.16,30.61,16.33,2.219,2.4282,30.229200000000002
15,15,25.86,62.07,3.45,6.9,1.72,0.0,5.0,0.0,32.5,2.5,10.0,10.0,2.5,0.0,37.5,48.8,14.46,5.42,12.65,18.67,1.7930999999999997,2.952,14.35
16,16,14.86,47.3,4.05,25.68,8.11,0.0,5.88,3.92,29.41,3.92,17.65,17.65,5.88,3.92,11.76,38.73,19.01,8.45,18.31,15.49,2.1488,2.8165999999999998,18.212
17,17,7.95,49.01,1.32,35.76,5.96,0.0,67.86,2.38,5.95,0.0,3.57,3.57,7.14,7.14,2.38,25.0,11.11,12.22,41.67,10.0,2.3245,2.2055000000000002,63.20109999999999
18,18,15.0,75.0,5.0,0.0,5.0,0.0,0.0,0.0,29.41,0.0,35.29,11.76,0.0,5.88,17.65,44.0,18.0,6.0,8.0,24.0,1.85,2.92,15.9976
19,19,10.49,65.92,1.5,19.48,2.62,0.0,4.94,0.62,0.0,0.0,11.11,0.62,53.7,28.4,0.62,39.74,18.57,12.7,23.45,5.54,2.1013,2.8763,44.7715
20,20,12.74,64.33,1.27,20.38,1.27,0.0,1.18,0.0,29.41,0.0,50.59,0.0,8.24,1.18,9.41,23.58,18.87,14.78,23.27,19.5,2.0762,2.4213000000000005,19.348000000000003
21,21,12.96,66.67,1.85,16.67,1.85,2.17,0.0,0.0,54.35,0.0,13.04,8.7,4.35,0.0,17.39,29.07,32.56,8.14,11.63,18.6,2.0371000000000006,2.9303,12.630899999999997
22,22,36.17,51.06,2.13,10.64,0.0,0.0,16.67,0.0,8.33,0.0,16.67,0.0,41.67,16.67,0.0,16.34,15.03,7.19,30.07,31.37,1.7234000000000003,2.013,44.3396
23,23,10.45,75.0,1.76,12.79,0.0,0.0,1.7,0.0,18.16,0.14,56.6,1.84,12.91,0.99,7.66,26.71,48.0,7.57,8.72,9.0,2.0058,3.3170000000000006,21.306400000000004
24,24,9.18,72.71,0.48,16.18,1.45,0.0,7.38,0.67,19.13,1.68,28.19,9.06,16.44,4.03,13.42,38.01,34.97,5.81,10.35,10.86,2.0797,3.2475,24.304550000000003
25,25,4.68,71.43,0.74,20.94,2.22,0.32,6.49,0.65,11.04,0.32,25.32,3.57,35.39,6.17,10.71,39.77,34.47,4.17,9.85,11.74,2.1776,3.2689000000000004,30.451249999999995
26,26,6.14,63.54,0.0,27.44,2.89,1.02,5.1,0.51,26.53,1.53,32.65,3.06,13.78,1.02,14.8,42.16,17.49,5.39,14.49,20.48,2.2421,2.8434999999999997,21.267349999999997
27,27,7.74,52.98,0.0,22.02,17.26,0.0,28.78,0.0,12.95,2.88,24.46,7.91,14.39,2.88,5.76,41.72,30.18,3.55,10.06,14.5,2.3154,3.1926000000000005,37.7888
28,28,6.25,69.53,0.39,21.88,1.95,0.0,7.84,0.0,16.67,0.98,30.39,3.43,21.57,7.35,11.76,39.38,37.32,3.3,10.1,9.9,2.1718999999999995,3.334000000000001,28.486
29,29,10.84,51.72,4.43,28.57,4.43,0.87,4.35,0.0,30.43,2.61,23.48,4.35,8.7,2.61,22.61,40.74,11.78,12.79,23.57,11.11,2.1771000000000003,2.7034,18.9173
30,30,15.27,66.41,0.76,15.27,2.29,0.0,8.33,0.0,12.5,2.08,35.42,9.38,9.38,2.08,20.83,54.12,20.0,7.65,14.71,3.53,2.0153,3.3002,22.3312
31,31,8.94,33.33,2.44,36.59,18.7,1.11,23.33,2.22,14.44,1.11,25.56,5.56,18.89,2.22,5.56,38.65,30.43,9.18,8.7,13.04,2.4391,3.1642,35.10839999999999
32,32,10.94,67.19,4.69,15.63,1.56,3.45,13.79,3.45,6.9,6.9,10.34,10.34,34.48,6.9,3.45,20.39,7.24,9.21,41.45,21.71,2.0158,1.9210000000000003,32.73934999999999
33,33,1.43,30.51,0.0,63.77,4.29,0.2,9.48,0.4,10.69,0.2,26.61,1.61,39.31,7.46,4.03,40.65,17.35,11.46,19.72,10.82,2.6663,2.8546000000000005,34.7836
34,34,1.34,31.89,0.0,61.77,5.01,0.0,11.73,0.56,9.78,0.0,25.7,0.28,39.39,8.94,3.63,38.03,21.17,13.36,18.21,9.24,2.6546,2.9096999999999995,37.122
35,35,1.82,31.01,0.14,62.29,4.75,0.0,13.47,0.52,9.59,0.78,25.39,0.78,38.34,8.55,2.59,32.56,13.2,12.85,25.41,15.99,2.6510000000000002,2.5014000000000003,37.727399999999996
36,36,4.86,51.94,0.56,40.69,1.94,0.0,19.81,0.24,9.07,0.0,25.3,0.95,33.89,7.16,3.58,38.6,17.17,11.46,18.85,13.93,2.3719,2.7878000000000003,40.174
37,37,23.4,59.57,2.13,10.64,4.26,0.0,3.33,0.0,36.67,3.33,23.33,0.0,6.67,6.67,20.0,33.81,29.5,3.6,12.23,20.86,1.8936999999999997,2.9353000000000002,20.067
38,38,30.95,19.05,42.86,7.14,0.0,0.0,0.0,0.0,37.93,0.0,13.79,10.34,3.45,0.0,34.48,34.04,40.43,0.0,21.28,4.26,1.3333,3.2341999999999995,11.8616
39,39,20.97,69.35,6.45,3.23,0.0,0.0,4.17,0.0,4.17,0.0,25.0,0.0,45.83,12.5,8.33,19.18,6.16,16.44,30.14,28.08,1.7580999999999998,1.9245999999999999,35.3348
40,40,0.0,22.22,0.0,66.67,11.11,0.0,40.0,0.0,0.0,0.0,10.0,10.0,20.0,10.0,10.0,45.71,11.43,8.57,20.0,14.29,2.7777999999999996,2.7999,49.2
41,41,13.45,35.29,1.68,47.06,2.52,1.75,0.0,0.0,28.07,3.51,26.32,8.77,7.02,1.75,22.81,25.0,7.03,11.2,23.44,33.33,2.3445,2.0728999999999997,14.753699999999998
42,42,23.33,56.67,3.33,16.67,0.0,0.0,0.0,0.0,11.54,0.0,30.77,15.38,15.38,0.0,26.92,34.48,29.31,8.62,3.45,24.14,1.9001000000000006,2.9999000000000002,16.459600000000002
43,43,27.5,50.0,0.0,20.0,2.5,0.0,0.0,0.0,27.03,0.0,27.03,2.7,2.7,0.0,40.54,59.09,31.82,2.27,2.27,4.55,1.95,3.7500000000000004,13.0808
44,44,7.32,56.1,7.32,24.39,4.88,6.67,60.0,0.0,0.0,6.67,6.67,0.0,13.33,6.67,0.0,5.2,4.46,3.72,45.35,41.26,2.1464999999999996,1.3269,58.8681
45,45,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96,2.0450999999999997,2.7116000000000002,41.58084999999999
46,46,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96,2.0450999999999997,2.7116000000000002,41.58084999999999
47,47,17.5,53.75,1.25,22.5,5.0,6.25,50.0,0.0,0.0,6.25,6.25,0.0,18.75,12.5,0.0,7.75,6.2,18.6,44.96,22.48,2.0875,1.6044,56.4375
48,48,9.09,33.33,1.52,48.48,7.58,0.0,6.67,3.33,13.33,3.33,16.67,3.33,43.33,3.33,6.67,17.55,10.64,11.17,35.64,25.0,2.4545,1.9574,30.34965
49,49,10.0,54.17,0.83,34.17,0.83,1.72,15.52,0.0,5.17,3.45,18.97,5.17,25.86,17.24,6.9,20.45,13.74,9.58,31.63,24.6,2.2417000000000002,2.1215,38.36339999999999
50,50,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25,2.0798,3.1116999999999995,43.2146
51,51,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25,2.0798,3.1116999999999995,43.2146
52,52,12.07,62.07,1.72,22.41,1.72,0.0,2.7,0.0,18.92,2.7,37.84,2.7,21.62,8.11,5.41,35.92,19.42,8.74,18.45,17.48,2.1032,2.7477,26.107200000000002
53,53,0.83,25.0,0.83,57.5,15.83,0.0,34.48,0.0,0.0,0.0,5.17,3.45,22.41,31.03,3.45,22.27,11.85,6.16,35.55,24.17,2.7165,2.0852,56.614000000000004
54,54,31.25,37.5,0.0,25.0,6.25,0.0,0.0,8.33,25.0,0.0,16.67,8.33,33.33,0.0,8.33,37.5,16.67,4.17,29.17,12.5,2.0,2.6669,20.70725
55,55,11.76,52.94,1.96,23.53,9.8,0.0,5.88,0.0,23.53,2.94,29.41,14.71,2.94,5.88,14.71,27.03,15.32,5.41,19.82,32.43,2.1959,2.3247,19.9376
56,56,4.35,34.78,0.0,43.48,17.39,0.0,5.88,0.0,17.65,0.0,35.29,5.88,23.53,11.76,0.0,27.5,30.0,5.0,20.0,17.5,2.5652,2.775,30.5832
57,57,9.88,68.92,1.46,18.81,0.94,0.43,1.72,0.0,36.49,0.0,39.22,0.86,7.33,1.44,12.5,54.13,13.92,6.66,13.37,11.94,2.0843000000000003,3.1083,18.433500000000002
58,58,14.26,71.3,0.71,13.37,0.36,0.0,0.87,0.0,21.39,0.0,54.34,0.29,14.74,2.02,6.36,32.56,22.87,11.38,18.34,14.86,1.9876000000000003,2.7768,21.7592
59,59,0.87,20.87,0.0,60.87,17.39,0.0,1.72,1.72,15.52,10.34,8.62,27.59,1.72,1.72,31.03,25.91,10.31,8.08,24.79,30.92,2.7739,2.1675,10.4838
60,60,0.74,17.81,0.74,70.5,10.2,0.63,2.83,0.31,9.75,0.31,59.12,1.26,21.07,1.89,2.83,40.53,15.71,14.1,23.49,6.17,2.792,2.8282,25.11085
61,61,13.33,40.0,0.0,26.67,20.0,0.0,0.0,0.0,38.46,0.0,23.08,23.08,0.0,0.0,15.38,68.42,10.53,0.0,21.05,0.0,2.3334,3.3685,11.384799999999998
62,62,4.17,27.08,0.0,47.92,20.83,0.0,0.0,0.0,7.41,0.0,29.63,7.41,33.33,11.11,11.11,26.09,21.74,6.96,24.35,20.87,2.6458,2.5046,27.998399999999997
63,63,24.67,47.33,8.67,16.67,2.67,2.0,0.0,0.0,33.0,3.0,8.0,13.0,5.0,1.0,35.0,48.66,12.95,10.27,16.52,11.61,1.8601999999999999,2.9511000000000003,11.56
64,64,11.24,59.76,0.59,25.44,2.96,0.0,0.0,0.0,23.53,0.84,12.61,21.01,3.36,0.84,37.82,33.92,25.99,9.69,20.7,9.69,2.1655,2.8941,11.0764
65,65,8.33,69.44,8.33,13.89,0.0,13.33,6.67,6.67,20.0,0.0,13.33,6.67,33.33,0.0,0.0,19.23,6.92,3.85,33.08,36.92,1.9721000000000004,1.8230000000000002,24.16745
66,66,25.0,75.0,0.0,0.0,0.0,5.26,21.05,0.0,5.26,0.0,10.53,0.0,10.53,47.37,0.0,25.49,9.8,5.88,29.41,29.41,1.75,2.1174,52.26379999999999
67,67,6.25,81.25,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,31.25,6.25,0.0,0.0,37.5,47.37,42.11,0.0,5.26,5.26,2.0625,3.6843999999999992,12.5
68,68,5.33,39.64,0.0,49.11,5.92,0.0,5.43,1.09,26.09,1.09,33.7,4.35,16.3,0.0,11.96,30.74,19.26,10.81,21.62,17.57,2.497,2.6081,21.89285
69,69,10.98,71.14,2.03,15.04,0.81,0.0,3.11,0.0,19.25,0.0,49.07,1.24,16.77,4.35,6.21,40.54,15.32,7.93,13.87,22.34,2.0284,2.7551,24.476399999999998
70,70,14.58,62.5,0.0,20.83,2.08,0.0,4.76,0.0,33.33,4.76,23.81,4.76,4.76,0.0,23.81,22.35,18.82,9.41,28.24,21.18,2.0831,2.3292,16.664
71,71,20.83,12.5,66.67,0.0,0.0,44.44,0.0,11.11,11.11,11.11,0.0,16.67,0.0,0.0,5.56,58.62,17.24,0.0,13.79,10.34,1.125,3.2757,3.1669500000000004
72,72,6.06,54.55,0.0,21.21,18.18,5.56,16.67,5.56,11.11,5.56,16.67,0.0,27.78,11.11,0.0,24.0,10.67,10.67,34.67,20.0,2.3333,2.1469,35.9758
73,73,24.0,64.0,0.0,10.0,2.0,0.0,3.85,0.0,30.77,0.0,26.92,0.0,34.62,0.0,3.85,27.84,18.04,6.7,20.62,26.8,1.88,2.4434,26.312400000000004
74,74,4.88,63.41,0.0,21.95,9.76,0.0,5.56,5.56,11.11,0.0,22.22,5.56,27.78,5.56,16.67,14.15,14.15,11.32,32.08,28.3,2.2683,1.9621999999999997,26.256999999999998
75,75,2.33,13.95,0.0,67.44,16.28,0.0,17.86,0.0,14.29,7.14,17.86,0.0,21.43,3.57,17.86,36.51,17.46,11.11,22.22,12.7,2.8139,2.7302,31.8604
76,76,8.61,73.41,0.75,16.1,1.12,0.51,26.9,0.0,20.81,1.52,19.29,5.58,3.55,2.03,19.8,42.62,27.86,8.64,13.93,6.96,2.0784000000000002,3.2009,32.3559
77,77,10.33,51.67,4.67,29.67,3.67,0.79,12.6,1.57,12.6,3.15,22.05,12.6,8.66,8.66,17.32,24.9,9.29,22.33,31.23,12.25,2.1836,2.2489999999999997,26.63035
78,78,9.52,44.76,6.67,35.24,3.81,6.06,18.18,3.03,6.06,0.0,18.18,0.0,30.3,12.12,6.06,20.0,5.0,23.75,41.25,10.0,2.2286,1.9875,38.85975
79,79,34.13,41.09,22.44,1.83,0.51,0.43,71.01,0.11,1.85,0.22,4.78,1.09,9.88,9.34,1.3,27.94,22.23,8.22,32.9,8.71,1.4577,2.5872999999999995,67.69885
80,80,28.85,23.56,45.19,0.96,1.44,4.63,12.96,5.56,10.19,3.7,25.93,12.04,9.26,2.78,12.96,32.26,14.11,6.85,36.69,10.08,1.2835999999999999,2.4595,23.8153
81,81,33.44,44.12,19.98,2.0,0.46,0.78,62.36,0.16,4.67,0.78,5.13,1.87,9.64,12.44,2.18,16.76,9.94,9.03,43.52,20.74,1.4904,1.8912,63.0678
82,82,26.51,13.25,59.45,0.52,0.26,0.28,28.25,0.83,13.3,3.05,11.63,3.32,22.16,10.8,6.37,29.46,12.3,20.99,34.09,3.16,1.1480000000000001,2.4627,42.576350000000005
