RID,GameID,metascore,global_user_score_mean,user_score_mean
1,1,65,6.669,6.592
2,2,70,6.1,9.333
3,3,46,3.717,5.667
4,4,79,8.2,6.5
5,5,52,4.467,5.667
6,6,73,7.383,7.333
7,7,83,7.684,8.04
8,8,73,4.954,4.458
9,9,62,7.6,7.364
10,10,39,5.125,4.875
11,11,55,6.2,4.0
12,12,77,8.1,8.0
13,13,59,6.2,7.0
14,14,73,6.4,4.5
15,15,71,6.0,6.062
16,16,52,5.5,6.3
17,17,35,6.192,5.655
18,18,51,6.3,7.5
19,19,76,7.9,8.667
20,20,80,7.482,7.364
21,21,72,6.9,6.65
22,22,50,7.0,7.333
23,23,78,7.9,7.16
24,24,89,8.5,8.667
25,25,84,9.0,9.2
26,26,80,7.5,6.5
27,27,75,8.0,8.625
28,28,75,8.9,9.0
29,29,78,6.46,5.529
30,30,71,7.4,9.0
31,31,71,7.2,8.25
32,32,75,6.2,8.0
33,33,92,8.7,8.591
34,34,89,8.2,9.833
35,35,86,8.3,8.5
36,36,90,8.5,9.308
37,37,68,8.1,7.944
38,38,66,6.325,7.375
39,39,58,7.3,8.0
40,40,64,7.8,7.5
41,41,65,5.926,6.632
42,42,68,7.3,5.0
43,43,67,6.28,6.6
44,44,83,8.0,6.4
45,45,81,7.9,8.021
46,46,81,8.3,8.857
47,47,70,5.7,4.146
48,48,78,7.8,5.333
49,49,80,8.2,10.0
50,50,89,8.9,9.0
51,51,84,8.9,8.476
52,52,85,7.025,8.25
53,53,53,7.3,6.3
54,54,61,6.582,5.588
55,55,70,7.3,8.5
56,56,61,6.0,6.0
57,57,83,8.155,7.528
58,58,70,8.167,7.756
59,59,78,7.371,7.286
60,60,79,8.266,8.523
61,61,58,3.5,3.5
62,62,64,7.367,7.333
63,63,48,3.701,4.691
64,64,76,8.1,7.857
65,65,73,6.811,8.222
66,66,66,8.0,6.5
67,67,63,7.058,7.141
68,68,66,8.071,7.81
69,69,63,7.316,6.854
70,70,62,7.0,5.333
71,71,41,3.9,5.0
72,72,80,8.4,8.333
73,73,72,7.3,10.0
74,74,78,6.8,6.667
75,75,74,7.2,8.0
76,76,73,8.017,8.348
77,77,77,5.257,4.524
78,78,63,4.922,6.407
79,79,87,8.7,8.833
