SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
1,1,0.438,0.082,-0.019
2,2,0.531,-0.021,0.332
3,3,-0.081,-0.028,-0.015
4,4,0.595,0.066,0.001
5,5,0.467,0.039,-0.598
6,6,0.672,0.031,0.002
7,7,0.767,0.149,0.425
8,8,0.253,-0.06,-0.482
9,9,0.682,0.131,0.136
10,10,0.46,-0.138,0.001
11,11,-0.596,-0.211,-0.333
12,12,0.811,0.046,0.444
13,13,0.931,0.05,0.354
14,14,0.307,0.187,0.967
15,15,0.234,-0.019,-0.005
16,16,0.417,0.054,-0.006
17,17,0.425,-0.062,-0.121
18,18,0.797,0.085,0.988
19,19,0.741,0.233,0.333
20,20,0.699,0.061,0.627
21,21,0.722,0.069,0.008
22,22,0.869,0.14,0.993
23,23,0.529,0.15,-0.05
24,24,0.538,0.164,0.354
25,25,0.75,0.223,0.52
26,26,0.406,0.053,0.039
27,27,0.645,0.071,0.046
28,28,0.852,0.198,0.316
29,29,0.183,0.013,-0.412
30,30,0.854,0.094,0.32
31,31,0.533,-0.013,-0.407
32,32,0.938,0.12,1.0
33,33,0.519,0.119,0.377
34,34,0.745,0.142,0.999
35,35,0.551,0.076,0.371
36,36,0.606,0.158,0.391
37,37,0.462,0.041,-0.189
38,38,0.729,0.119,0.747
39,39,0.994,0.154,0.662
40,40,0.92,0.074,-0.001
41,41,0.199,0.025,0.269
42,42,-0.572,0.012,-0.988
43,43,0.519,0.052,0.029
44,44,0.594,0.045,0.155
45,45,0.6,0.12,0.243
46,46,0.755,0.073,0.472
47,47,0.493,0.005,-0.565
48,48,0.407,0.021,0.093
49,49,0.765,0.167,0.992
50,50,0.651,0.184,0.497
51,51,0.782,0.131,0.34
52,52,0.898,0.125,0.069
53,53,0.392,0.049,0.012
54,54,0.44,-0.042,-0.298
55,55,0.881,0.065,0.005
56,56,0.37,-0.035,-0.985
57,57,0.371,0.099,0.278
58,58,0.543,0.061,0.358
59,59,0.675,0.022,-0.342
60,60,0.308,0.048,0.41
61,61,0.451,-0.216,-0.108
62,62,0.107,-0.148,0.332
63,63,0.159,-0.107,-0.589
64,64,0.676,0.105,0.196
65,65,0.593,0.093,0.317
66,66,0.794,-0.412,-0.005
67,67,0.235,0.044,0.128
68,68,0.489,0.082,0.214
69,69,0.372,-0.004,-0.277
70,70,0.228,-0.109,-0.332
71,71,0.225,0.035,-0.005
72,72,0.866,0.1,0.909
73,73,0.88,0.203,0.985
74,74,0.138,0.116,0.313
75,75,0.775,0.102,0.251
76,76,0.605,0.068,0.41
77,77,0.061,-0.027,-0.525
78,78,0.279,-0.047,-0.274
79,79,0.733,0.068,0.333
80,80,0.272,-0.144,-0.574
81,81,0.714,0.09,0.072
82,82,0.796,0.045,-0.146
83,83,0.836,0.139,0.526
84,84,0.698,0.085,0.112
85,85,0.441,-0.028,-0.371
86,86,0.385,0.002,-0.469
87,87,0.278,-0.036,-0.458
88,88,0.585,0.052,-0.098
89,89,0.705,0.105,0.467
90,90,0.163,0.045,0.334
91,91,0.886,0.222,-0.201
92,92,0.957,0.078,0.334
93,93,0.634,0.132,0.227
94,94,0.609,0.148,0.991
95,95,0.599,0.081,-0.106
96,96,0.47,0.046,-0.135
97,97,0.705,0.155,0.147
98,98,0.662,0.146,-0.13
99,99,0.766,0.242,0.983
100,100,0.893,0.0,0.997
101,101,0.367,-0.009,-0.453
102,102,0.462,-0.012,-0.0
103,103,0.3,-0.016,-0.436
104,104,0.653,0.072,0.093
105,105,0.96,0.617,1.0
106,106,0.984,0.23,0.914
107,107,0.262,0.033,0.121
108,108,0.668,0.045,-0.023
109,109,0.389,-0.081,-0.179
110,110,0.561,0.04,0.059
111,111,-0.045,-0.16,0.077
112,112,0.34,0.001,-0.502
113,113,0.594,0.0,0.314
114,114,0.445,0.02,-0.998
115,115,0.721,0.107,-0.142
116,116,0.494,0.172,0.02
117,117,0.409,0.053,0.086
118,118,0.397,0.042,-0.138
119,119,0.575,0.093,0.174
120,120,0.948,0.178,0.981
121,121,0.705,0.095,-0.47
122,122,0.542,0.131,-0.189
123,123,0.526,0.144,0.184
124,124,0.529,-0.037,-0.089
125,125,0.421,-0.019,-0.304
126,126,0.792,0.14,0.337
127,127,0.301,0.047,-0.065
128,128,0.304,-0.009,-0.242
129,129,0.624,0.179,0.584
130,130,0.28,0.024,0.359
131,131,0.345,0.056,-0.084
132,132,0.305,-0.021,-0.486
133,133,0.611,0.139,0.342
134,134,0.359,0.08,0.01
135,135,0.397,0.05,0.23
136,136,0.554,0.111,0.354
137,137,0.51,0.125,0.3
138,138,0.694,0.121,0.278
139,139,0.732,0.143,0.336
140,140,0.58,0.153,0.667
141,141,0.072,-0.094,-0.148
142,142,0.571,0.07,0.134
143,143,0.0,0.0,-0.673
144,144,0.91,0.044,1.0
145,145,0.988,0.022,-0.993
146,146,0.928,0.076,0.523
147,147,0.913,0.122,0.038
148,148,0.595,0.059,0.267
149,149,0.652,0.097,0.151
